Specimen,"w_i 
[mm]","t_i 
[mm]","Time 
[sec]","Extension 
[mm]","Strain 
[%]","Load 
[N]","Axial Strain 
[--]"
,,,9.2,0.8308124,3.376787,433.034992,0.050651805
,,,9.3,0.8393123,3.408568,433.515315,0.05112852
,,,9.4,0.8478749,3.440407,434.0776,0.051606105
,,,9.5,0.8564374,3.472253,434.569265,0.052083795
,,,9.6,0.8649374,3.504089,435.0085,0.052561335
,,,9.7,0.8734374,3.536112,435.415528,0.05304168
,,,9.8,0.8819374,3.568172,435.537936,0.05352258
,,,9.9,0.8904374,3.60027,435.729787,0.05400405
,,,10,0.8989374,3.632263,436.127506,0.054483945
,,,10.1,0.9074374,3.664156,436.369005,0.05496234
,,,10.2,0.9159999,3.696012,436.634793,0.05544018
,,,10.3,0.9245623,3.727888,436.852431,0.05591832
,,,10.4,0.9331874,3.759922,437.195366,0.05639883
,,,10.5,0.9416874,3.79199,437.579175,0.05687985
,,,10.6,0.9502499,3.824019,438.011348,0.057360285
,,,10.7,0.9588124,3.856105,438.400614,0.057841575
,,,10.8,0.9673124,3.888177,438.668756,0.058322655
,,,10.9,0.9758749,3.920281,438.930906,0.058804215
,,,11,0.9844373,3.952209,439.126074,0.059283135
,,,11.1,0.9929999,3.984261,439.306262,0.059763915
,,,11.2,1.0015,4.016356,439.583927,0.06024534
,,,11.3,1.01,4.048504,439.868333,0.06072756
,,,11.4,1.0185,4.080629,440.158945,0.061209435
,,,11.5,1.027062,4.112752,440.4869,0.06169128
,,,11.6,1.035562,4.144954,440.622683,0.06217431
,,,11.7,1.044125,4.177077,440.806937,0.062656155
,,,11.8,1.052687,4.209049,440.939296,0.063135735
,,,11.9,1.061187,4.241023,441.127937,0.063615345
,,,12,1.06975,4.273137,441.274527,0.064097055
,,,12.1,1.07825,4.305324,441.467876,0.06457986
,,,12.2,1.086812,4.337628,441.664863,0.06506442
,,,12.3,1.095312,4.369896,441.960183,0.06554844
,,,12.4,1.103875,4.402106,442.213238,0.06603159
,,,12.5,1.112437,4.434511,442.472606,0.066517665
,,,12.6,1.121,4.46685,442.628719,0.06700275
,,,12.7,1.1295,4.499035,442.627007,0.067485525
,,,12.8,1.138,4.531301,442.662638,0.067969515
,,,12.9,1.1465,4.563495,442.656325,0.068452425
,,,13,1.155,4.595486,442.699767,0.06893229
,,,13.1,1.163562,4.627436,442.916442,0.06941154
,,,13.2,1.172062,4.65948,443.093634,0.0698922
,,,13.3,1.180625,4.691526,443.148953,0.07037289
,,,13.4,1.189125,4.723674,443.126804,0.07085511
,,,13.5,1.197687,4.755791,443.322721,0.071336865
,,,13.6,1.206187,4.788002,443.469846,0.07182003
,,,13.7,1.21475,4.820186,443.708349,0.07230279
,,,13.8,1.223312,4.852257,443.887574,0.072783855
,,,13.9,1.231875,4.884379,443.930695,0.073265685
,,,14,1.240375,4.916752,443.962367,0.07375128
,,,14.1,1.248937,4.94914,443.938185,0.0742371
,,,14.2,1.257437,4.981351,443.781537,0.074720265
,,,14.3,1.265937,5.013543,443.861145,0.075203145
,,,14.4,1.274437,5.04586,443.965149,0.0756879
,,,14.5,1.283,5.07809,444.061984,0.07617135
,,,14.6,1.291562,5.110272,444.078462,0.07665408
,,,14.7,1.300125,5.142472,444.204508,0.07713708
,,,14.8,1.308625,5.174824,444.439159,0.07762236
,,,14.9,1.317125,5.207152,444.556752,0.07810728
,,,15,1.325687,5.23942,444.624911,0.0785913
,,,15.1,1.334187,5.271719,444.70377,0.079075785
,,,15.2,1.34275,5.304195,444.715861,0.079562925
,,,15.3,1.351312,5.336596,444.593881,0.08004894
,,,15.4,1.359875,5.36892,444.358588,0.0805338
,,,15.5,1.368375,5.4013,444.263572,0.0810195
,,,15.6,1.376937,5.433535,444.191561,0.081503025
,,,15.7,1.385437,5.465752,444.02646,0.08198628
,,,15.8,1.393937,5.497979,443.91518,0.082469685
,,,15.9,1.402437,5.530173,444.026674,0.082952595
,,,16,1.411,5.562602,444.080709,0.08343903
,,,16.1,1.4195,5.595009,444.161494,0.083925135
,,,16.2,1.428062,5.627462,444.068083,0.08441193
,,,16.3,1.436562,5.659914,443.997356,0.08489871
,,,16.4,1.445062,5.692411,443.925345,0.085386165
,,,16.5,1.453625,5.724708,443.969643,0.08587062
,,,16.6,1.462125,5.756983,443.8253,0.086354745
,,,16.7,1.470687,5.789337,443.810641,0.086840055
,,,16.8,1.47925,5.821709,443.690801,0.087325635
,,,16.9,1.487875,5.85398,443.724827,0.0878097
,,,17,1.496437,5.886336,443.753075,0.08829504
,,,17.1,1.505,5.91897,443.75361,0.08878455
,,,17.2,1.513562,5.951611,443.771265,0.089274165
,,,17.3,1.522062,5.984185,443.703534,0.089762775
,,,17.4,1.530625,6.016877,443.599744,0.090253155
,,,17.5,1.539125,6.049414,443.614831,0.09074121
,,,17.6,1.547687,6.082042,443.591291,0.09123063
,,,17.7,1.556187,6.114724,443.573101,0.09172086
,,,17.8,1.564687,6.147306,443.428009,0.09220959
,,,17.9,1.573187,6.179984,443.261196,0.09269976
,,,18,1.581687,6.212419,443.119849,0.093186285
,,,18.1,1.59025,6.24494,442.955925,0.0936741
,,,18.2,1.59875,6.277473,442.680935,0.094162095
,,,18.3,1.607312,6.310012,442.527818,0.09465018
,,,18.4,1.615812,6.342524,442.375771,0.09513786
,,,18.5,1.624312,6.375053,442.238383,0.095625795
,,,18.6,1.632812,6.407498,442.107415,0.09611247
,,,18.7,1.641312,6.439968,442.025881,0.09659952
,,,18.8,1.649812,6.472499,441.845158,0.097087485
,,,18.9,1.658375,6.505079,441.612433,0.097576185
,,,19,1.666937,6.537725,441.484889,0.098065875
,,,19.1,1.6755,6.570496,441.414269,0.09855744
,,,19.2,1.684,6.60323,441.280626,0.09904845
,,,19.3,1.692562,6.635962,441.009916,0.09953943
,,,19.4,1.701062,6.668487,440.760713,0.100027305
,,,19.5,1.709562,6.701089,440.56608,0.100516335
,,,19.6,1.718125,6.733648,440.272686,0.10100472
,,,19.7,1.726687,6.766328,440.00433,0.10149492
,,,19.8,1.735312,6.798972,439.826282,0.10198458
,,,19.9,1.743875,6.831624,439.700985,0.10247436
,,,20,1.752437,6.86442,439.548082,0.1029663
,,,20.1,1.760937,6.897133,439.46612,0.103456995
,,,20.2,1.7695,6.929747,439.302303,0.103946205
,,,20.3,1.778,6.962321,438.97285,0.104434815
,,,20.4,1.786562,6.994984,438.792127,0.10492476
,,,20.5,1.795062,7.027593,438.673036,0.105413895
,,,20.6,1.803625,7.060127,438.580374,0.105901905
,,,20.7,1.812125,7.092851,438.471555,0.106392765
,,,20.8,1.820625,7.125633,438.124019,0.106884495
,,,20.9,1.829125,7.158223,437.478809,0.107373345
,,,21,1.837687,7.19073,436.870835,0.10786095
,,,21.1,1.846187,7.223293,436.502006,0.108349395
,,,21.2,1.85475,7.255784,436.313793,0.10883676
,,,21.3,1.863312,7.288305,436.112954,0.109324575
,,,21.4,1.871875,7.320875,435.944536,0.109813125
,,,21.5,1.880375,7.353546,435.721976,0.11030319
,,,21.6,1.888875,7.386389,435.432648,0.110795835
,,,21.7,1.897437,7.419258,435.101269,0.11128887
,,,21.8,1.906,7.452083,434.738539,0.111781245
,,,21.9,1.914562,7.484894,434.391538,0.11227341
,,,22,1.923062,7.517625,434.065081,0.112764375
,,,22.1,1.931625,7.550278,433.796297,0.11325417
,,,22.2,1.940125,7.58297,433.580906,0.11374455
,,,22.3,1.948625,7.615633,433.18094,0.114234495
,,,22.4,1.957125,7.64839,432.624861,0.11472585
,,,22.5,1.965687,7.681163,432.161979,0.115217445
,,,22.6,1.974187,7.713965,431.641745,0.115709475
,,,22.7,1.98275,7.74659,431.228297,0.11619885
,,,22.8,1.991312,7.779273,430.852085,0.116689095
,,,22.9,1.999875,7.811981,430.545851,0.117179715
,,,23,2.008375,7.84472,430.010744,0.1176708
,,,23.1,2.016937,7.87731,429.482057,0.11815965
,,,23.2,2.0255,7.909862,428.984293,0.11864793
,,,23.3,2.034062,7.942507,428.47508,0.119137605
,,,23.4,2.042562,7.975127,428.088168,0.119626905
,,,23.5,2.051187,8.007862,427.79349,0.12011793
,,,23.6,2.059687,8.04069,427.278927,0.12061035
,,,23.7,2.068187,8.073489,426.788974,0.121102335
,,,23.8,2.076687,8.106173,426.371567,0.121592595
,,,23.9,2.085187,8.138896,425.712126,0.12208344
,,,24,2.093625,8.171621,424.92375,0.122574315
,,,24.1,2.102187,8.204325,424.248366,0.123064875
,,,24.2,2.110687,8.236894,423.584003,0.12355341
,,,24.3,2.11925,8.26947,423.064197,0.12404205
,,,24.4,2.12775,8.301999,422.543856,0.124529985
,,,24.5,2.13625,8.334599,421.960385,0.125018985
,,,24.6,2.144812,8.367439,421.247337,0.125511585
,,,24.7,2.153375,8.400316,420.460031,0.12600474
,,,24.8,2.161937,8.433102,419.605529,0.12649653
,,,24.9,2.1705,8.465678,418.878464,0.12698517
,,,25,2.179062,8.49836,418.269206,0.1274754
,,,25.1,2.187562,8.531147,417.813386,0.127967205
,,,25.2,2.196125,8.563934,417.10205,0.12845901
,,,25.3,2.204625,8.596737,416.47717,0.128951055
,,,25.4,2.213125,8.629578,415.834528,0.12944367
,,,25.5,2.221687,8.662374,415.133143,0.12993561
,,,25.6,2.230187,8.695207,414.308173,0.130428105
,,,25.7,2.23875,8.728031,413.403381,0.130920465
,,,25.8,2.24725,8.760709,412.35339,0.131410635
,,,25.9,2.255812,8.793288,411.411255,0.13189932
,,,26,2.264375,8.825872,410.402673,0.13238808
,,,26.1,2.272875,8.858611,409.474341,0.132879165
,,,26.2,2.281437,8.891259,408.469397,0.133368885
,,,26.3,2.29,8.923936,407.413307,0.13385904
,,,26.4,2.298562,8.95658,406.366205,0.1343487
,,,26.5,2.307125,8.989287,405.295777,0.134839305
,,,26.6,2.315625,9.022002,404.22353,0.13533003
,,,26.7,2.324125,9.054781,403.06258,0.135821715
,,,26.8,2.332625,9.087458,401.612944,0.13631187
,,,26.9,2.341187,9.120031,400.228043,0.136800465
,,,27,2.34975,9.15259,398.864328,0.13728885
,,,27.1,2.35825,9.185234,397.470225,0.13777851
,,,27.2,2.366812,9.217961,395.915087,0.138269415
,,,27.3,2.375312,9.250849,394.341759,0.138762735
,,,27.4,2.383875,9.283669,392.682831,0.139255035
,,,27.5,2.392375,9.316508,391.03257,0.13974762
,,,27.6,2.400875,9.349245,389.39333,0.140238675
,,,27.7,2.409437,9.381919,387.38066,0.140728785
,,,27.8,2.418,9.414617,384.918911,0.141219255
,,,27.9,2.426562,9.447404,382.56245,0.14171106
,,,28,2.435062,9.480219,380.105944,0.142203285
,,,28.1,2.443625,9.513234,377.523606,0.14269851
,,,28.2,2.452125,9.546375,374.574793,0.143195625
,,,28.3,2.460624,9.579445,371.176473,0.143691675
,,,28.4,2.469187,9.612344,367.521674,0.14418516
,,,28.5,2.47775,9.645344,363.51966,0.14468016
,,,28.6,2.48625,9.678531,358.835628,0.145177965
,,,28.7,2.494812,9.711642,353.321597,0.14567463
,,,28.8,2.503312,9.744701,346.714882,0.146170515
,,,28.9,2.511812,9.777804,337.422039,0.14666706
,,,29,2.520375,9.811249,322.63496,0.147168735
,,,29.1,2.528937,9.844851,304.794101,0.147672765
,,,29.2,2.5375,9.878429,286.982667,0.148176435
,,,29.3,2.648312,9.911929,160.642952,0.148678935
,,,29.4,2.733937,9.945531,0,0.149182965
